epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,17380.8,1.25586,0.76089,0.99444,0.65546,0.45612,0.50958,0.30268,1.74568,1.41322,1.25507,0.006469,0.006469,0.006469
109,17539.9,1.25623,0.75994,0.99456,0.6528,0.45744,0.50945,0.30276,1.74537,1.41372,1.25506,0.006436,0.006436,0.006436
110,17699.6,1.25584,0.75888,0.99425,0.65262,0.45694,0.50935,0.30296,1.74504,1.4148,1.25473,0.006403,0.006403,0.006403
111,17858,1.25547,0.76056,0.99399,0.65391,0.45693,0.50962,0.30314,1.7445,1.4152,1.25435,0.00637,0.00637,0.00637
112,18018.9,1.25221,0.75413,0.99142,0.65025,0.45822,0.50958,0.30335,1.7436,1.41658,1.25389,0.006337,0.006337,0.006337
113,18180.1,1.24694,0.75283,0.98934,0.64945,0.45783,0.50968,0.30348,1.74293,1.41727,1.2535,0.006304,0.006304,0.006304
114,18339.4,1.25105,0.75398,0.993,0.6545,0.45677,0.50989,0.30366,1.7424,1.41843,1.25326,0.006271,0.006271,0.006271
115,18500.1,1.24805,0.75504,0.99191,0.65453,0.4567,0.51022,0.30391,1.74211,1.41821,1.25269,0.006238,0.006238,0.006238
116,18660.6,1.24895,0.75217,0.99196,0.6564,0.4564,0.51012,0.30387,1.74166,1.41909,1.25238,0.006205,0.006205,0.006205
117,18821.5,1.24583,0.74886,0.98983,0.65815,0.45656,0.51019,0.30386,1.74127,1.42081,1.25195,0.006172,0.006172,0.006172
118,18981.2,1.24681,0.75112,0.98729,0.65539,0.45834,0.51046,0.30412,1.74147,1.41879,1.25177,0.006139,0.006139,0.006139
119,19139.6,1.2501,0.75131,0.99097,0.65674,0.45813,0.51072,0.3042,1.74032,1.41881,1.2511,0.006106,0.006106,0.006106
120,19298.2,1.24395,0.74784,0.98981,0.65731,0.45779,0.51078,0.30435,1.74011,1.41963,1.2507,0.006073,0.006073,0.006073
121,19456.8,1.24423,0.74902,0.98844,0.65803,0.45772,0.51088,0.30439,1.73989,1.42012,1.25042,0.00604,0.00604,0.00604
122,19619.1,1.24091,0.74665,0.98753,0.65887,0.45791,0.51136,0.30433,1.73963,1.41967,1.25008,0.006007,0.006007,0.006007
123,19779.7,1.24559,0.74901,0.98924,0.65876,0.45768,0.51134,0.30458,1.73853,1.41895,1.24938,0.005974,0.005974,0.005974
124,19938.7,1.2446,0.74855,0.98865,0.65886,0.45751,0.51111,0.30446,1.73807,1.41798,1.24916,0.005941,0.005941,0.005941
125,20100.2,1.24446,0.74785,0.98751,0.65734,0.45762,0.51113,0.30441,1.73776,1.41878,1.24897,0.005908,0.005908,0.005908
126,20262.2,1.24517,0.74641,0.99014,0.65652,0.45826,0.5114,0.30453,1.73712,1.41944,1.2486,0.005875,0.005875,0.005875
