                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2318,                0.74165,                0.98214,                0.69121,                0.54929,                0.61939,                0.34871,                   1.75,                  1.272,                 1.2422,               0.007393,               0.007393,               0.007393
                     81,                 1.2279,                0.73736,                0.97948,                0.69165,                0.54868,                0.61975,                0.34885,                 1.7505,                 1.2725,                 1.2424,                0.00736,                0.00736,                0.00736
                     82,                 1.2309,                0.73815,                0.97993,                0.68589,                0.55231,                 0.6196,                0.34893,                 1.7503,                 1.2748,                 1.2427,               0.007327,               0.007327,               0.007327
                     83,                  1.225,                0.73547,                0.97954,                0.68468,                0.55226,                0.61959,                0.34899,                 1.7515,                 1.2759,                 1.2433,               0.007294,               0.007294,               0.007294
                     84,                 1.2283,                0.73584,                0.98059,                0.68553,                0.55131,                0.61897,                0.34865,                 1.7527,                 1.2769,                 1.2437,               0.007261,               0.007261,               0.007261
                     85,                 1.2241,                0.73361,                0.97971,                0.68514,                0.55227,                0.61904,                0.34874,                 1.7531,                 1.2763,                 1.2435,               0.007228,               0.007228,               0.007228
                     86,                 1.2257,                0.73382,                0.97869,                0.68257,                0.55286,                0.61863,                0.34866,                 1.7526,                 1.2769,                  1.243,               0.007195,               0.007195,               0.007195
                     87,                 1.2268,                0.73554,                0.97935,                0.68078,                0.55444,                0.61912,                 0.3485,                 1.7516,                 1.2775,                 1.2424,               0.007162,               0.007162,               0.007162
                     88,                 1.2272,                0.73629,                0.98008,                0.68356,                0.55301,                0.61943,                0.34856,                 1.7531,                 1.2782,                 1.2432,               0.007129,               0.007129,               0.007129
                     89,                  1.226,                0.73388,                 0.9778,                0.68336,                0.55381,                0.62005,                0.34865,                 1.7534,                 1.2778,                 1.2434,               0.007096,               0.007096,               0.007096
                     90,                 1.2213,                0.73021,                0.97768,                0.68337,                0.55339,                0.61992,                0.34898,                 1.7532,                 1.2779,                 1.2432,               0.007063,               0.007063,               0.007063
                     91,                 1.2208,                0.73029,                0.97724,                0.68512,                0.55274,                0.62075,                0.34974,                 1.7526,                 1.2781,                 1.2427,                0.00703,                0.00703,                0.00703
                     92,                 1.2242,                0.73162,                0.97805,                0.68744,                0.55226,                0.62163,                0.34994,                 1.7533,                 1.2785,                  1.243,               0.006997,               0.006997,               0.006997
                     93,                 1.2215,                0.72847,                0.97818,                0.68334,                0.55589,                0.62192,                0.35015,                 1.7536,                 1.2799,                 1.2432,               0.006964,               0.006964,               0.006964
                     94,                 1.2216,                 0.7306,                0.97763,                0.68702,                0.55437,                0.62231,                0.35077,                 1.7539,                 1.2793,                 1.2434,               0.006931,               0.006931,               0.006931
                     95,                 1.2195,                0.72933,                0.97905,                0.68917,                0.55369,                 0.6234,                0.35153,                 1.7532,                 1.2785,                 1.2426,               0.006898,               0.006898,               0.006898
                     96,                 1.2183,                 0.7284,                0.97709,                0.69086,                0.55436,                0.62429,                0.35192,                 1.7516,                 1.2777,                 1.2415,               0.006865,               0.006865,               0.006865
                     97,                 1.2209,                0.72837,                0.97715,                0.68818,                0.55651,                0.62452,                0.35207,                 1.7511,                 1.2778,                 1.2413,               0.006832,               0.006832,               0.006832
                     98,                 1.2184,                0.72545,                0.97773,                0.68885,                0.55655,                0.62486,                0.35216,                 1.7511,                 1.2787,                 1.2416,               0.006799,               0.006799,               0.006799
                     99,                 1.2214,                0.72963,                0.97674,                0.69011,                0.55574,                0.62507,                0.35231,                 1.7505,                 1.2797,                  1.241,               0.006766,               0.006766,               0.006766
                    100,                 1.2196,                0.72679,                0.97784,                0.68922,                0.55449,                0.62449,                0.35231,                 1.7505,                 1.2806,                 1.2411,               0.006733,               0.006733,               0.006733
                    101,                 1.2171,                 0.7238,                0.97517,                0.69226,                0.55462,                0.62571,                0.35286,                 1.7497,                 1.2816,                 1.2405,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2155,                0.72401,                0.97445,                0.69224,                0.55541,                0.62636,                0.35344,                 1.7487,                 1.2814,                   1.24,               0.006667,               0.006667,               0.006667
                    103,                 1.2156,                0.72421,                0.97578,                0.68928,                0.55751,                 0.6267,                0.35387,                 1.7483,                 1.2831,                 1.2398,               0.006634,               0.006634,               0.006634
                    104,                 1.2161,                0.72106,                0.97452,                0.68876,                0.55814,                0.62714,                  0.354,                 1.7475,                 1.2837,                 1.2393,               0.006601,               0.006601,               0.006601
                    105,                 1.2178,                0.72347,                0.97509,                0.68762,                0.55914,                0.62728,                0.35423,                  1.747,                 1.2843,                  1.239,               0.006568,               0.006568,               0.006568
                    106,                 1.2148,                0.72263,                0.97603,                0.68886,                0.56016,                0.62715,                0.35434,                 1.7473,                 1.2857,                 1.2391,               0.006535,               0.006535,               0.006535
                    107,                 1.2134,                0.72071,                0.97631,                0.68719,                0.56106,                0.62724,                0.35433,                 1.7474,                  1.287,                 1.2395,               0.006502,               0.006502,               0.006502
                    108,                 1.2157,                0.72331,                0.97618,                0.68892,                0.56025,                 0.6278,                0.35457,                 1.7465,                  1.288,                 1.2388,               0.006469,               0.006469,               0.006469
                    109,                 1.2165,                0.71936,                0.97555,                0.69205,                0.55938,                 0.6282,                0.35482,                 1.7457,                 1.2885,                 1.2381,               0.006436,               0.006436,               0.006436
                    110,                  1.212,                0.72012,                0.97451,                0.69925,                0.55531,                0.62831,                0.35483,                  1.745,                 1.2896,                 1.2377,               0.006403,               0.006403,               0.006403
                    111,                 1.2151,                0.71832,                0.97367,                0.70007,                0.55517,                0.62847,                 0.3548,                 1.7453,                 1.2906,                 1.2377,                0.00637,                0.00637,                0.00637
                    112,                 1.2119,                0.71869,                0.97356,                0.69878,                0.55438,                 0.6282,                 0.3549,                  1.745,                 1.2913,                 1.2373,               0.006337,               0.006337,               0.006337
                    113,                 1.2111,                0.72003,                 0.9742,                0.69894,                 0.5545,                0.62819,                0.35519,                 1.7451,                 1.2908,                 1.2372,               0.006304,               0.006304,               0.006304
                    114,                 1.2111,                0.71534,                0.97436,                0.69668,                0.55489,                0.62829,                0.35516,                 1.7453,                 1.2917,                 1.2373,               0.006271,               0.006271,               0.006271
                    115,                 1.2083,                0.71517,                0.97342,                0.69632,                0.55332,                0.62794,                0.35523,                 1.7452,                 1.2924,                 1.2372,               0.006238,               0.006238,               0.006238
                    116,                 1.2108,                0.71507,                0.97344,                0.69334,                0.55368,                0.62729,                 0.3551,                 1.7457,                  1.293,                 1.2376,               0.006205,               0.006205,               0.006205
                    117,                 1.2072,                0.71408,                 0.9711,                0.69597,                0.55261,                0.62781,                0.35518,                 1.7452,                  1.294,                  1.237,               0.006172,               0.006172,               0.006172
                    118,                 1.2057,                0.71447,                0.97246,                0.69678,                0.55293,                0.62792,                0.35538,                 1.7451,                 1.2941,                  1.237,               0.006139,               0.006139,               0.006139
                    119,                 1.2079,                0.71367,                0.97337,                 0.6958,                0.55283,                0.62741,                 0.3552,                 1.7461,                 1.2955,                 1.2377,               0.006106,               0.006106,               0.006106
                    120,                 1.2093,                0.71438,                0.97272,                0.69475,                0.55346,                0.62761,                  0.355,                 1.7459,                 1.2957,                 1.2375,               0.006073,               0.006073,               0.006073
                    121,                 1.2063,                 0.7107,                0.97185,                0.69411,                0.55437,                0.62742,                0.35508,                 1.7468,                 1.2951,                 1.2382,                0.00604,                0.00604,                0.00604
                    122,                 1.2054,                0.71124,                0.97185,                0.69341,                0.55535,                0.62797,                0.35515,                 1.7475,                  1.295,                 1.2389,               0.006007,               0.006007,               0.006007
                    123,                 1.2095,                0.71427,                0.97457,                0.69748,                0.55342,                0.62821,                0.35537,                  1.747,                 1.2948,                 1.2386,               0.005974,               0.005974,               0.005974
                    124,                 1.2077,                0.71288,                 0.9719,                0.69788,                0.55394,                0.62849,                0.35551,                  1.746,                 1.2947,                 1.2381,               0.005941,               0.005941,               0.005941
                    125,                 1.2088,                0.71381,                0.97339,                0.69793,                0.55218,                0.62769,                0.35527,                 1.7464,                 1.2963,                 1.2382,               0.005908,               0.005908,               0.005908
                    126,                 1.2043,                0.71108,                0.97165,                0.69612,                0.55275,                0.62704,                0.35491,                  1.746,                 1.2966,                 1.2375,               0.005875,               0.005875,               0.005875
                    127,                 1.2013,                0.70988,                 0.9713,                0.69598,                 0.5527,                0.62711,                0.35463,                 1.7462,                 1.2984,                 1.2373,               0.005842,               0.005842,               0.005842
                    128,                 1.2023,                0.70818,                0.97161,                0.69707,                0.55249,                 0.6268,                0.35462,                 1.7461,                 1.3006,                 1.2373,               0.005809,               0.005809,               0.005809
                    129,                 1.2061,                0.71238,                0.97182,                0.69725,                0.55164,                0.62664,                0.35458,                 1.7459,                 1.3001,                 1.2372,               0.005776,               0.005776,               0.005776
                    130,                 1.2059,                0.71115,                0.97029,                0.69863,                0.55016,                0.62652,                0.35444,                 1.7462,                 1.3001,                 1.2375,               0.005743,               0.005743,               0.005743
                    131,                 1.2027,                0.71122,                0.97095,                0.69889,                 0.5506,                0.62685,                0.35427,                 1.7461,                 1.2994,                 1.2372,                0.00571,                0.00571,                0.00571
                    132,                  1.201,                0.70774,                0.97011,                0.69771,                 0.5513,                0.62694,                 0.3543,                 1.7461,                 1.2985,                 1.2369,               0.005677,               0.005677,               0.005677
                    133,                 1.2027,                0.70911,                0.96959,                0.69856,                0.55052,                0.62726,                0.35446,                 1.7438,                 1.2977,                  1.235,               0.005644,               0.005644,               0.005644
                    134,                 1.1993,                0.70533,                0.97038,                 0.6999,                0.54966,                0.62767,                 0.3546,                 1.7436,                 1.2968,                 1.2343,               0.005611,               0.005611,               0.005611
                    135,                 1.1975,                0.70426,                0.96915,                0.69756,                0.55019,                0.62777,                 0.3547,                 1.7429,                 1.2967,                 1.2336,               0.005578,               0.005578,               0.005578
                    136,                 1.2009,                0.70707,                0.97068,                0.69859,                0.55008,                0.62839,                0.35468,                 1.7428,                 1.2971,                 1.2335,               0.005545,               0.005545,               0.005545
                    137,                  1.202,                0.70926,                0.96952,                0.69721,                0.54968,                0.62822,                0.35476,                 1.7426,                 1.2965,                  1.233,               0.005512,               0.005512,               0.005512
                    138,                 1.1987,                0.70408,                0.96961,                0.69545,                 0.5511,                0.62835,                0.35451,                 1.7423,                 1.2965,                 1.2327,               0.005479,               0.005479,               0.005479
                    139,                 1.1991,                0.70548,                0.96944,                0.69472,                0.55209,                0.62803,                0.35434,                 1.7418,                 1.2961,                 1.2321,               0.005446,               0.005446,               0.005446
                    140,                 1.1968,                0.70385,                0.96844,                0.69251,                 0.5534,                0.62808,                0.35408,                 1.7428,                 1.2967,                 1.2325,               0.005413,               0.005413,               0.005413
                    141,                 1.1994,                0.70557,                0.96937,                0.69224,                0.55269,                0.62711,                0.35378,                 1.7429,                 1.2978,                 1.2322,                0.00538,                0.00538,                0.00538
                    142,                 1.1972,                0.70413,                0.96831,                0.68993,                0.55409,                0.62783,                0.35379,                 1.7434,                 1.2982,                 1.2325,               0.005347,               0.005347,               0.005347
                    143,                 1.1942,                0.70134,                0.96815,                0.68639,                0.55633,                0.62808,                0.35388,                 1.7432,                 1.2966,                 1.2322,               0.005314,               0.005314,               0.005314
                    144,                 1.1948,                0.70117,                0.96868,                0.68451,                0.55673,                0.62819,                0.35384,                 1.7433,                 1.2967,                 1.2321,               0.005281,               0.005281,               0.005281
                    145,                 1.1964,                 0.7018,                0.96788,                0.68447,                0.55708,                0.62821,                0.35339,                 1.7432,                 1.2971,                 1.2319,               0.005248,               0.005248,               0.005248
                    146,                    1.2,                0.70482,                0.96846,                0.68729,                 0.5551,                 0.6286,                0.35339,                 1.7425,                 1.2959,                 1.2313,               0.005215,               0.005215,               0.005215
                    147,                 1.1947,                 0.7004,                0.96894,                0.68583,                 0.5579,                0.62868,                 0.3534,                 1.7423,                 1.2956,                  1.231,               0.005182,               0.005182,               0.005182
                    148,                 1.1943,                0.70024,                0.96905,                 0.6843,                0.55835,                 0.6287,                0.35321,                 1.7417,                  1.296,                 1.2304,               0.005149,               0.005149,               0.005149
                    149,                 1.1941,                0.70142,                0.96902,                0.68762,                0.55543,                0.62867,                0.35299,                 1.7412,                 1.2962,                 1.2301,               0.005116,               0.005116,               0.005116
                    150,                 1.1902,                0.69996,                0.96477,                0.69095,                0.55486,                0.62898,                0.35271,                 1.7413,                 1.2961,                 1.2301,               0.005083,               0.005083,               0.005083
                    151,                 1.1922,                0.69889,                0.96733,                0.68974,                0.55569,                0.62884,                0.35248,                 1.7416,                 1.2969,                 1.2302,                0.00505,                0.00505,                0.00505
                    152,                 1.1945,                0.69845,                0.96708,                0.69259,                0.55472,                 0.6286,                0.35163,                 1.7413,                 1.2975,                   1.23,               0.005017,               0.005017,               0.005017
                    153,                 1.1889,                 0.6954,                0.96606,                0.69065,                0.55677,                 0.6282,                0.35129,                 1.7416,                 1.2974,                 1.2299,               0.004984,               0.004984,               0.004984
                    154,                 1.1921,                0.69796,                0.96694,                  0.691,                0.55546,                0.62779,                0.35076,                 1.7423,                 1.2974,                 1.2302,               0.004951,               0.004951,               0.004951
